"","CCAA","SEXO","EDAD","P1","P2","P3","P4","P5","P6","P7","ECOESP","ECOPER","CONFIANZAPTE","CONFIANZAOPOSIC"
"404",1,2,59,2,1,1,9,1,8,1,4,3,3,3
"405",1,2,54,1,2,2,1,1,8,1,5,2,4,4
"406",1,1,20,2,2,2,1,1,2,2,4,4,2,2
"407",1,2,50,1,3,2,1,1,2,2,4,3,3,4
"408",1,1,22,2,2,1,1,1,2,1,4,4,2,3
"409",1,2,24,2,2,2,2,1,2,1,4,2,4,3
"410",1,2,52,1,1,1,2,1,1,0,4,2,3,3
"411",1,2,42,2,2,3,8,9,9,9,5,2,4,4
"412",1,2,33,2,1,1,2,1,2,2,5,3,4,4
"413",1,2,40,2,3,1,1,1,1,0,3,2,2,3
"414",1,2,54,2,1,1,3,1,1,0,5,2,3,3
"415",1,1,30,1,4,3,8,2,2,2,5,2,4,4
"416",1,2,49,1,1,1,2,1,2,2,4,2,3,3
"417",1,2,51,2,2,3,1,1,2,2,5,1,4,4
"418",1,1,63,1,2,3,1,1,2,2,4,2,4,4
"419",1,2,65,1,1,1,3,1,1,0,3,5,4,2
"420",1,2,24,1,1,1,3,1,1,0,4,4,3,3
"421",1,2,30,1,1,1,2,1,1,0,4,2,4,3
"422",1,1,45,1,3,1,1,1,2,2,2,2,1,1
"423",1,2,60,2,3,1,1,1,1,0,3,4,3,4
"424",1,2,35,2,2,3,1,1,1,0,4,2,4,4
"425",1,2,90,8,2,8,8,1,1,0,3,3,3,2
"426",1,2,52,1,1,2,2,1,1,0,4,2,3,4
"427",1,1,48,4,2,3,1,1,1,0,5,2,3,3
"428",1,1,45,1,1,1,2,1,2,1,4,2,3,3
"429",1,1,34,4,2,3,1,1,1,0,2,1,4,3
"430",1,2,51,1,2,2,2,1,1,0,4,2,4,3
"431",1,2,70,2,2,2,1,1,1,0,4,2,4,4
"432",1,2,48,1,3,2,2,1,1,0,4,2,4,3
"433",1,1,29,2,2,3,1,1,2,2,4,2,4,3
"434",1,2,57,1,1,1,2,1,1,0,5,2,2,4
"435",1,2,63,1,3,1,2,1,1,0,4,2,3,3
"436",1,1,44,2,3,3,2,1,2,2,5,4,4,4
"437",1,1,72,2,2,1,2,1,1,0,4,4,4,3
"438",1,1,35,2,3,3,1,1,2,1,2,2,2,3
"439",1,2,80,2,1,1,3,1,1,0,4,2,4,3
"440",1,2,33,2,3,1,1,1,1,0,5,4,3,3
"441",1,2,58,1,3,9,8,1,1,0,3,3,3,3
"442",1,2,21,1,3,2,1,2,2,2,4,4,3,3
"443",1,1,40,2,1,1,3,1,1,0,4,3,3,3
"444",1,1,37,1,3,3,1,1,1,0,5,2,4,2
